Treatment,Rep,Mortality
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,2,1
0,2,1
0,2,1
0,2,1
0,2,1
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
0,3,0
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,1
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,1,0
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,1
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,2,0
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,1
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
2.5,3,0
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
6.5,1,1
